Batch_Size,Noise_Ratio_Pct,CPU_Latency_ms,GPU_Latency_ms,Speedup_X,CPU_MPPS,GPU_MPPS,CPU_P999_ns,GPU_P999_ns,CPU_Cache_Miss_Pct,GPU_Cache_Miss_Pct,CPU_Power_W_per_M,GPU_Power_W_per_M
10000,0,8.911609649658203,1.3320446014404297,6.690173617325935,1.1221317352453315,7.507256130302488,13611.188000000038,126.67,2.01,0.502,15.0,3.5001
10000,25,9.607315063476562,2.413034439086914,3.98142476039917,1.0408735358348222,4.144159668016995,8941.29800000006,236.8256,4.51,0.502,16.25,3.5001
10000,50,9.271860122680664,0.6978511810302734,13.286299965835326,1.0785322327650493,14.329702767338572,7414.093000000019,65.0561,7.01,0.502,17.5,3.5001
10000,75,8.164405822753906,0.8108615875244141,10.068803293149074,1.2248288751314098,12.332561011467215,7291.134000000027,77.4565,9.510000000000002,0.502,18.75,3.5001
10000,99,8.744478225708008,0.888824462890625,9.838251072961373,1.1435788096082014,11.250815450643776,7603.232000000047,84.8789,11.910000000000002,0.502,19.95,3.5001
100000,0,89.16521072387695,8.519411087036133,10.466123751154395,1.1215136395480043,11.737900540116978,11279.088000000338,83.71198,2.1,0.52,15.0,3.501
100000,25,101.25088691711426,7.248878479003906,13.967800289435601,0.987645669532374,13.795237468754111,10975.002000000008,71.34088,4.6,0.52,16.25,3.501
100000,50,90.4839038848877,6.524562835693359,13.868194109478916,1.1051689384138261,15.326697361689689,7319.0,63.39668,7.1000000000000005,0.52,17.5,3.501
100000,75,83.90212059020996,6.828546524047852,12.286966237212388,1.1918649885908654,14.644404874131489,7296.002000000008,66.51256,9.600000000000001,0.52,18.75,3.501
100000,99,73.58908653259277,5.998134613037109,12.268662055807297,1.3588971505402472,16.671849908577787,7136.0030000000115,59.00031,12.000000000000002,0.52,19.95,3.501
1000000,0,628.0062198638916,138.06676864624023,4.548568971531392,1.592340916968515,7.242872487022832,1476.0,137.134385,3.0,0.7000000000000001,15.0,3.51
1000000,25,693.6955451965332,66.7266845703125,10.39607391950606,1.4415545939778043,14.986508117996799,8764.001000000164,65.759641,5.5,0.7000000000000001,16.25,3.51
1000000,50,640.1431560516357,44.71015930175781,14.317621901795999,1.5621505760804184,22.366281301992238,1399.001000000164,43.806068,8.0,0.7000000000000001,17.5,3.51
1000000,75,537.7895832061768,44.94786262512207,11.96474207664766,1.8594633128411153,22.247998939132742,876.0,44.09185,10.500000000000002,0.7000000000000001,18.75,3.51
1000000,99,465.6062126159668,38.5587215423584,12.075250267425972,2.1477376652291422,25.93446981641903,703.0,37.758576,12.9,0.7000000000000001,19.95,3.51
10000000,0,6298.297882080078,2133.838891983032,2.951627653682376,1.587730556290773,4.686389416544348,4971.0,158.3524406,12.000000000000002,2.5,15.0,3.6
10000000,25,6638.84711265564,490.01550674438477,13.548238823631301,1.5062856291624778,20.407517440496985,3690.0,46.6411076,14.500000000000002,2.5,16.25,3.6
10000000,50,6146.9128131866455,524.8348712921143,11.7120891720729,1.6268329003377973,19.053611996818265,1016.0,50.1436576,17.0,2.5,17.5,3.6
10000000,75,5527.607202529907,519.5362567901611,10.639502306693657,1.8091010510701886,19.24793480590319,897.0,49.5419846,19.5,2.5,18.75,3.6
10000000,99,4684.951066970825,450.26326179504395,10.404915222915468,2.1344940122215097,22.2092292409855,781.0,42.6590146,21.900000000000002,2.5,19.95,3.6
